"나이","성별","키_cm","몸무게_kg","체지방율","윗몸일으키기","등급"
2,1,155,46.7,17.7,35,4
1,1,160.2,54.3,23.6,53,4
2,0,180,75.6,13.7,72,4
2,1,168.4,73,25.8,67,4
3,0,165,57.9,25.3,49,4
1,0,174.2,76.9,20.6,52,4
2,0,168.7,63.9,22.7,53,4
2,0,176.1,68.9,17.7,63,4
3,0,172.6,71.1,16.7,45,4
1,0,170.5,60.3,12.4,51,4
1,0,166.6,66.9,15.6,59,4
2,1,159,56.5,23.5,52,4
3,1,157,50.3,22.3,21,4
1,1,162.3,59.28,25.3,47,4
2,0,182.6,77.4,22,48,4
3,0,168.9,67.4,22.1,52,4
3,0,168.6,70.96,21,49,4
1,0,178,68.1,7.7,66,4
1,1,164.7,57.3,17.2,50,4
1,1,160.9,48.5,24.3,39,4
2,0,176.6,75.2,17.4,49,4
2,0,176.9,68.3,17,49,4
2,1,168,61,22.4,37,4
2,1,162.8,60.5,29.7,38,4
2,0,173.2,78.2,21.9,48,4
3,1,158,57.9,27.4,20,4
1,0,168.4,63.1,15,53,4
2,0,178.1,79.1,20.4,53,4
2,0,166.4,66.6,21.5,53,4
2,1,155.2,51.5,25.3,30,4
3,1,152.2,46.5,16.6,40,4
1,0,173.1,77,20.9,51,4
2,0,176,65.1,15.4,47,4
2,1,164,64.7,34.9,45,4
2,0,179.9,79.3,10.5,51,4
1,0,177.4,70.5,12.4,59,4
2,1,159,54.9,18.9,51,4
1,1,170.3,63.1,20.6,51,4
2,1,159,45.1,15.2,41,4
1,0,165.8,68.1,19.7,57,4
2,0,176,81.3,20.6,64,4
1,0,176.8,72.2,16.3,64,4
1,1,159.4,55.3,23.8,53,4
1,1,162.6,55.1,32.1,38,4
1,0,176,72.7,8.9,55,4
2,1,158.2,55.9,24.9,41,4
2,0,168.9,70.9,14.8,58,4
3,0,169.2,59.8,25.2,33,4
1,1,167.6,68.9,32.2,43,4
1,0,178,72.4,14.1,67,4
1,1,166.1,54.4,23,46,4
3,1,156.2,46.2,25.9,19,4
1,0,174.9,72.1,16.2,53,4
1,0,173.9,78,19.4,55,4
2,0,173.2,69.1,15.2,52,4
2,0,172.2,72.9,11.9,68,4
1,1,165.6,63.2,27,56,4
1,0,179,66,7.1,66,4
1,0,179.2,76.9,16.6,58,4
1,1,168.9,59.2,22.7,43,4
1,0,168,74.8,15,62,4
1,0,172.9,87.9,25.1,52,4
1,1,171.9,69.1,34.1,46,4
2,0,176.8,88.2,26.1,47,4
3,0,169.1,60.5,10.6,43,4
1,1,163,51.2,17.7,50,4
3,0,174.4,77.4,19.3,59,4
1,0,177,75.3,8.6,67,4
2,0,173.2,66.7,13.1,52,4
3,0,168.5,62.1,14.8,31,4
1,0,178.7,74.7,16.6,51,4
3,1,162.7,49,24.3,21,4
1,1,169.5,62.2,30.6,50,4
1,1,165.7,56.2,17.34,49,4
3,0,175.4,60.3,10.1,41,4
2,0,171.5,61.9,16.3,50,4
2,0,164.2,67.4,25,47,4
1,1,162.5,60.8,30.8,42,4
1,1,160.9,48.2,24,47,4
1,1,166.7,68.1,29.3,42,4
2,0,166.1,65.6,22.2,60,4
1,0,174.1,68.3,9.3,61,4
2,0,174,72.7,18.8,46,4
1,0,175.3,65,9,59,4
3,1,160.6,50.1,20.5,55,4
2,1,162.1,48.9,15.3,38,4
1,0,177.3,70.2,13.3,55,4
2,0,175.1,70.86,14.3,62,4
3,0,173.6,81.1,23.9,38,4
2,1,164,58,31,40,4
3,0,163.5,56.88,20.5,44,4
3,1,162,51.5,21.6,26,4
3,1,160,54,21.7,29,4
1,0,173.3,66.6,12.6,59,4
2,1,164.5,59.6,19.5,36,4
2,1,151.5,44.7,27.9,37,4
1,0,175.1,84.5,15.6,54,4
1,1,165.7,54.3,29.6,48,4
2,0,178.3,82,17.2,57,4
1,1,155.5,59.7,33.5,49,4
3,0,169.6,70.7,18.6,50,4
1,0,180.9,86.8,20.7,53,4
2,1,153.8,49.2,27.7,32,4
1,0,173.7,61.1,16.2,56,4
3,0,168.5,63.4,17.1,46,4
1,0,171,69.2,18.1,80,4
1,1,163.5,51.7,22.3,59,4
2,1,163.6,54,19.9,47,4
2,0,177,63.6,12.4,48,4
1,0,166.7,65.9,16,58,4
1,1,168.1,53.9,18.2,46,4
1,1,161,63.5,30.4,48,4
3,0,169.1,62.9,16,40,4
1,1,163,67,30.4,47,4
3,0,158,58.4,22.2,41,4
2,0,180.8,81.1,15.3,54,4
3,1,164,59,33.4,26,4
1,1,157.4,55.9,27.4,38,4
2,1,164.3,52.2,25.4,40,4
2,1,158,53.9,17.1,46,4
2,0,185.2,84.5,20.8,51,4
1,0,171,87,17.4,57,4
3,1,159.1,54.8,25.3,36,4
1,0,171.7,71,16.8,58,4
2,0,166,65.6,21.6,49,4
2,0,162.8,71,15.3,62,4
3,0,172.8,73.4,23.2,43,4
1,1,166,62.3,30.4,40,4
3,0,170.2,63.8,18.2,33,4
3,0,170.6,59.9,14,43,4
1,1,169.2,66.5,29.2,40,4
1,1,168.8,83.4,36.2,45,4
2,0,181.9,80.9,13.4,59,4
2,1,157,47.6,17.1,66,4
2,0,180.4,82.8,22.5,48,4
2,1,155.5,50.4,25.5,31,4
3,0,164.2,66,26.1,35,4
2,1,159.2,45.7,10.3,30,4
1,1,160.3,57.2,22.7,37,4
1,0,176.8,68.8,9,52,4
3,0,165.4,64.3,18.7,43,4
2,0,175.9,64.8,9.7,54,4
2,1,160.5,54.46,25.5,39,4
1,1,167,52.1,15.3,41,4
1,0,187.9,80.8,9.5,58,4
1,1,166.7,49.9,19.1,44,4
2,0,166,66.1,24,47,4
2,1,158.2,45.5,26.2,32,4
3,0,166.6,65.4,18.4,40,4
3,0,178.8,78.5,19.6,32,4
2,0,177.3,86.4,20.1,63,4
3,1,156.2,57.5,31.6,24,4
1,1,171.8,63.6,23.3,42,4
1,1,159.9,54.7,27.7,45,4
1,1,159,54.9,22,47,4
2,0,180,88.7,23.1,55,4
1,1,164.3,52.9,24,43,4
2,0,174.6,65.4,13.8,47,4
1,0,170.1,67.4,15,62,4
3,1,165.3,58.1,22.8,25,4
2,0,186,95.8,19,60,4
3,0,176.4,73.1,18.2,53,4
2,0,168.9,65.1,14.9,47,4
3,0,174.5,80.76,28.1,33,4
1,1,164,60,32,41,4
3,1,153.3,46.8,26.3,28,4
3,1,163,55.6,28.1,26,4
1,0,167.6,66,10.1,63,4
1,0,163.2,60.9,13.4,59,4
1,0,169.5,68.1,18.2,75,4
2,0,176.7,76.5,18.8,56,4
1,1,168.8,52.1,21.7,42,4
1,0,177.9,75.7,9.3,62,4
1,1,152.5,48.1,35.7,47,4
1,1,166.7,68.92,32.8,38,4
2,1,162.6,56.7,25.9,37,4
1,0,182,81.7,13.9,68,4
2,0,183,86.7,18.7,51,4
2,0,167.2,70.7,15.6,69,4
2,0,171.6,73,13.4,48,4
1,1,162.5,56.2,27.3,47,4
2,0,176.6,78,14.1,64,4
1,1,158.4,49.6,25.8,41,4
1,0,171.2,71.3,14.8,60,4
1,0,174,69.4,12.2,59,4
1,0,170.4,68.7,14.4,59,4
1,0,180,63,5.6,60,4
1,1,157.7,47.1,21.7,56,4
3,0,169.1,68.5,17.1,62,4
3,1,157.4,50.2,23.4,27,4
2,0,175.6,69,19.7,45,4
1,1,171.7,59.9,24.9,56,4
2,0,176.7,79.74,11.1,49,4
2,0,172,68,13.3,55,4
2,0,167,62.2,14.9,52,4
3,0,176.9,74.18,19.5,35,4
1,0,176.8,95.1,22.8,59,4
3,0,174.5,68.9,21.8,35,4
1,0,173.7,67.4,14.7,64,4
2,0,178.1,81.1,18.4,54,4
1,0,181.3,82,17.2,55,4
1,0,175.9,65.4,13.1,51,4
1,1,157.1,50.76,26.4,55,4
1,1,164.4,60.6,28.5,38,4
3,0,170.5,72.6,20.9,48,4
3,0,169,65.3,17.2,31,4
2,0,172.2,88.96,25.5,58,4
3,1,156.8,49.34,25.2,31,4
2,0,173.1,70.7,11.9,63,4
2,0,166.6,66.9,17.1,57,4
3,1,167.1,48,14.2,26,4
1,0,174.7,71.7,13.9,60,4
2,0,179.1,82.9,16.7,47,4
1,0,168.4,60.2,6.2,61,4
1,0,176.3,66.2,14.7,57,4
1,1,166.2,49,19.9,46,4
2,1,164.4,61.3,18.7,43,4
2,1,160.7,49.3,24.7,38,4
1,0,171.7,57.7,8.1,62,4
1,1,162,58.3,25.2,48,4
1,1,154,51.1,26,48,4
1,1,162.4,52.9,22.5,39,4
1,1,169.5,58.8,22.3,38,4
1,0,177,82.9,32.1,51,4
2,0,169.4,67.3,20.5,48,4
1,1,162.2,64.5,24.4,64,4
1,1,159.1,49.5,21.5,41,4
1,0,166.7,54.7,8.2,55,4
1,0,174.1,64.1,13.7,58,4
1,0,171.7,69.9,13.2,65,4
1,0,173.3,80.7,23.6,60,4
3,0,174.1,61,7.4,36,4
1,0,177.9,73.3,13.1,57,4
3,1,157.5,59.6,34.9,35,4
2,0,173.2,76.4,15.2,47,4
1,0,178.6,78.1,13.9,65,4
3,0,171.4,70.7,26.1,39,4
3,0,157.4,48.42,19.9,43,4
2,1,166.3,57.5,25,45,4
2,0,168.8,71.7,14.5,54,4
2,0,175,82,24.1,55,4
2,1,156.7,55.5,23.5,45,4
1,1,154.4,43.2,25.1,59,4
1,1,158,53.1,26.4,36,4
1,0,169,64.5,10.6,60,4
1,0,175.2,74.1,9,56,4
2,1,167.6,54.88,23,37,4
2,0,167.7,67.6,14.8,61,4
2,0,172.6,75.12,16.8,49,4
2,1,164,63.6,25.1,57,4
1,1,157,45.84,18.2,51,4
2,0,173.7,72.6,14.6,65,4
2,1,161,54.3,27.3,50,4
1,0,178.7,68.5,12.1,56,4
2,0,180.7,71.9,16.6,54,4
3,0,168.8,73.9,20.8,34,4
3,1,158.2,64.2,33,27,4
3,0,164,64.5,21.5,50,4
1,1,158.1,49.4,27.2,40,4
1,1,162.4,54.9,28.9,48,4
3,0,167.9,67.1,21.1,31,4
1,0,180.4,82,15.2,65,4
2,0,183.4,87.3,20.7,57,4
1,1,162.4,59.7,31.8,44,4
1,1,163.8,56.2,25.4,50,4
3,0,167.9,68.1,17.6,50,4
3,1,160.1,45.6,9.7,23,4
2,0,171.3,73.8,20.7,50,4
1,0,171.5,72.1,18.4,62,4
1,0,170,83,29.8,52,4
1,0,177.9,71,11.6,54,4
1,1,165.7,56.9,20.3,46,4
1,1,162.5,55.8,30.4,35,4
1,0,163.5,65.7,21.5,60,4
2,0,175,70.5,15.8,49,4
2,0,187.8,81.3,13.7,54,4
2,0,173.9,78.4,10.7,53,4
3,1,157.8,59.8,40.3,38,4
2,1,166.1,59.5,27.4,49,4
1,0,178.9,81.6,10.2,55,4
1,1,160.1,53.8,26.8,41,4
2,0,176,84.1,15.7,55,4
1,0,171.4,73.6,15.7,76,4
1,1,159.3,60.32,32.5,40,4
1,0,184.6,69.9,13.1,58,4
1,1,163.5,55.1,27.5,52,4
1,0,164.5,68.4,22.8,53,4
2,1,168.3,53.2,23.1,42,4
2,0,167.8,69.8,23.2,56,4
3,0,160.3,56.1,18.4,36,4
1,0,171,57.6,15.7,69,4
2,1,149.5,45.6,30.8,35,4
3,1,156.1,50.5,27.4,26,4
2,0,167.6,76.7,24.7,45,4
2,1,158.9,56.7,22,52,4
3,1,158.3,58.8,28.3,19,4
2,0,174.3,68.4,18.2,62,4
2,0,177.5,77,22.1,46,4
1,0,171.3,65.6,15.9,59,4
1,1,154.1,48.6,29.3,36,4
3,1,154.8,54.6,26.8,25,4
1,1,161.6,63.9,32.1,37,4
2,0,176.9,71.2,11.1,60,4
1,1,162.7,53.8,20.1,41,4
2,1,162,52.6,19.3,38,4
1,1,167.7,62.3,29.1,47,4
1,1,159.1,55.1,34.9,50,4
3,1,167.7,64.4,18.7,33,4
2,0,180.8,75.26,9.2,55,4
3,1,154.2,46.6,20.3,31,4
1,1,160.6,55.2,28.5,46,4
2,1,166.2,58.5,25.7,38,4
2,0,174.9,84,19.4,73,4
1,0,174.7,62.8,10.2,57,4
1,0,183.5,77.6,15.1,51,4
2,0,173.6,76,15.2,55,4
3,1,160.5,55.1,34,22,4
3,1,164,51,25,36,4
3,0,165.5,67.68,18.3,57,4
1,0,177.8,70.1,11.5,63,4
2,0,171.5,68.76,19,44,4
2,0,172,75.4,19.2,63,4
1,1,160,57.9,28.2,43,4
1,1,165.5,64.9,25.7,57,4
3,0,170.1,61.7,17.3,32,4
2,0,169.8,75.7,17.6,51,4
1,1,167.5,58.5,26.4,41,4
1,1,164.8,34.5,34.5,38,4
1,0,165.4,68,11,58,4
1,0,177.5,71.6,13.4,70,4
2,0,170.1,75,21.2,60,4
3,1,156.2,47.1,23,38,4
3,0,165.9,64,23.4,46,4
1,0,170.2,65.7,12.2,56,4
1,1,172.3,66.5,24.4,44,4
1,0,164.3,57.2,7.4,69,4
1,0,178.6,76.12,19.6,54,4
3,0,172.4,65.8,20.7,41,4
2,0,172.6,64.4,19.1,50,4
1,1,167.7,57.3,22.5,50,4
1,0,177,65.28,10.2,55,4
1,1,157.3,45.6,21.5,55,4
2,0,166.6,66,18.3,49,4
2,0,182.3,72.06,12.6,60,4
1,1,160.9,64.4,26.5,38,4
3,0,165.6,64.9,15.7,36,4
2,1,167.6,57.5,27.8,46,4
2,0,171.4,71.1,18.2,51,4
1,0,164.6,67.1,19.3,65,4
3,0,160.7,63.9,22.7,36,4
1,1,165.9,58,22.5,45,4
2,0,170.2,66.3,20.1,46,4
2,0,164,63.6,25.2,52,4
2,0,172.8,64.9,12,49,4
2,0,167.9,74.5,19.4,50,4
1,1,162.6,63,31.2,38,4
1,0,167.5,76.2,18.7,61,4
1,0,175.2,85.3,14.7,57,4
2,0,174,70.6,12.3,60,4
1,0,169.1,86,19.2,57,4
1,0,169.2,56.5,13.9,53,4
2,0,171.7,72.3,25.3,50,4
2,0,174.8,67.8,17.8,50,4
2,0,172.5,66.8,15.5,51,4
3,0,168.9,68,17.3,31,4
3,0,167,56.3,18.3,31,4
2,0,175.7,74.3,19.8,44,4
1,1,159.2,55.9,28.2,48,4
1,0,172.5,63.2,17.5,57,4
3,1,163.9,52.82,15.7,30,4
2,0,181.6,87.5,16.2,56,4
2,0,173.8,72.3,28.6,49,4
1,0,166.3,53.9,12.8,54,4
2,0,182,73.1,21.5,60,4
1,0,167.1,63.7,12.7,57,4
2,0,179.6,81.4,18.1,52,4
1,1,155,57.3,27.9,34,4
3,0,168.9,55.6,14.2,32,4
1,0,178.7,76.1,15.9,61,4
1,0,176.1,76.1,23.4,59,4
1,1,170.2,68,32.8,37,4
1,1,163,57.44,21.1,43,4
1,0,170.1,66.7,17.4,56,4
1,1,168.5,62.8,26.38361,44,4
2,1,158.3,51.5,24.8,53,4
2,0,168.1,70.5,27,50,4
1,1,166.3,53.8,22.9,55,4
2,1,159.1,51.9,25.2,52,4
2,0,181.2,86.8,20.7,50,4
3,0,163.4,60.8,13.9,47,4
1,1,159.6,53.3,22.9,74,4
1,0,178.2,82.1,16.2,55,4
2,0,167.8,69.6,17.5,64,4
1,1,156.5,50.8,30,42,4
1,1,164.1,59.3,24.4,51,4
3,1,156.6,52.4,23.8,25,4
3,0,165.9,61.9,10.3,45,4
2,1,165,51.9,24,38,4
3,1,156.1,62.62,36.7,19,4
2,0,181.1,80.3,11.6,55,4
1,0,170.3,79.8,21.5,55,4
2,1,166.4,52.4,27.6,38,4
1,1,150.6,56.2,32,49,4
2,0,173.7,72.4,15.1,53,4
2,0,166.1,70.8,16.7,55,4
2,0,160.4,63.1,16.7,49,4
1,1,157.1,52.1,31.3,47,4
1,1,161,45.2,17.4,40,4
2,1,161.6,48.3,23.9,32,4
2,0,177.8,72.5,18.7,55,4
1,1,159.8,48.8,18.2,45,4
1,1,166.4,64.1,31.1,46,4
1,1,166.9,54.3,20.7,42,4
3,1,155.6,52.7,24.2,23,4
1,0,172.9,76.7,16.5,61,4
1,1,166,59.1,23.4,42,4
3,0,165.1,66.3,22.6,34,4
1,0,174.5,68.5,7.2,56,4
1,0,171,74.8,19.1,56,4
3,0,163.9,57.8,15,41,4
1,0,179.6,73.6,14.9,53,4
1,0,171,66.3,20.5,55,4
1,1,160.2,59.4,32.8,36,4
2,0,177.9,75.5,14.9,46,4
3,0,166.1,64.6,17.9,43,4
3,1,154.6,59.4,32.3,28,4
2,0,176,65,16,47,4
1,0,166,66.2,20.5,55,4
1,0,166.8,67.2,23.7,63,4
2,0,171.6,78.3,18.9,67,4
3,1,158.8,65.5,35.6,21,4
1,0,181,75.3,12.9,57,4
2,1,160.3,52.3,16.4,47,4
2,1,165.7,50.1,20.5,42,4
2,1,158.6,49.5,24.7,37,4
1,1,164.7,61.1,26.7,42,4
1,0,171,72.5,17.5,55,4
1,0,181.7,75,15.4,57,4
1,0,182,81.8,11.2,65,4
1,1,164.2,59.3,31.7,40,4
1,1,160.5,47.7,21.1,47,4
1,0,174.9,75.2,14.5,62,4
1,0,178.4,79.2,15.5,59,4
2,0,180.5,77.1,12.8,49,4
1,1,159.6,49.1,29.9,43,4
2,0,171.4,72.8,24.5,46,4
1,1,159.5,53.4,29.2,55,4
3,1,151.3,50.9,26.9,18,4
3,0,168.6,64,19.2,37,4
2,0,165,86.9,28.9,51,4
1,1,164.1,52.54,21.4,40,4
3,0,161.4,63,18.2,39,4
2,1,156.7,60.6,35.5,32,4
1,1,166.9,64.8,26.8,44,4
1,0,176.9,75.3,15.4,61,4
2,1,157.5,50.8,19.9,36,4
1,0,173.7,70.74,17.4,67,4
1,1,167.8,57.4,26.3,51,4
1,0,171.8,64.7,11.6,54,4
2,0,163.7,58.4,10.3,50,4
2,0,168,65.5,18.7,56,4
1,0,179.3,82.6,13.8,76,4
1,1,164.6,56,28.4,50,4
2,1,159,53.3,25.9,34,4
2,0,175.3,72.9,21.3,51,4
2,1,160,64.6,28.6,49,4
1,0,169.2,70.8,13.9,55,4
2,0,174.2,74.3,23.8,51,4
2,0,166.2,67.1,15.8,45,4
3,0,173.5,68.4,18.7,40,4
2,0,171,74,19.4,54,4
1,1,159.5,47,27.2,39,4
1,0,176.9,78.3,15.6,62,4
3,0,165.7,70.4,21.9,37,4
2,0,183.7,79.8,17.6,49,4
2,0,175.5,78.4,20.9,51,4
2,0,173.7,65.9,9.4,50,4
2,0,166.8,63,15.7,65,4
1,0,176.8,70.3,9.9,58,4
1,1,173.2,66.7,22.2,47,4
1,1,164.7,49.8,23.7,37,4
1,1,168.7,53.7,20.2,36,4
3,1,153.6,47.7,26.9,22,4
3,0,166.2,65.5,21.45024,33,4
1,1,156,46.8,20.2,42,4
1,1,162,58,29.3,38,4
3,0,171.6,78.7,23.8,47,4
2,0,176.5,84.2,17.2,47,4
1,0,173.7,72.6,12.7,53,4
2,1,163.8,58.1,22.91287,50,4
1,1,161.6,53.7,22.5,46,4
1,0,177.7,70.7,22.2,55,4
3,0,166,62.7,21.5,39,4
1,1,168.8,56.1,20.6,42,4
2,0,173,71.7,18.8,57,4
2,1,163,54.9,16.1,58,4
2,0,172.8,77.1,13.2,57,4
1,1,160.1,57.5,27.1,53,4
3,0,171.7,58.2,12.8,37,4
2,0,170.6,71.36,18.7,48,4
2,0,179.7,79.3,13.7,53,4
1,0,172.7,76.1,12.2,59,4
1,0,169.9,70.6,14.3,60,4
3,0,161.1,57.5,15.7,31,4
2,0,172.8,84.42,21.8,60,4
2,0,173.9,74.02,18.1,58,4
2,1,148.2,50.2,20.6,59,4
2,1,163.1,60.5,30,37,4
1,0,177.2,75.4,12.6,59,4
2,0,186,68.9,8.2,53,4
2,1,166.8,53.3,21.3,47,4
1,1,161.9,50.6,22,47,4
1,0,174.4,71.8,12.5,59,4
2,0,180,76.7,20.1,45,4
2,1,157.9,48.5,19,41,4
1,1,164.1,70.5,26.1,56,4
1,1,156.5,45.6,19.7,51,4
3,0,167.9,69.4,26.3,32,4
3,1,158.1,53,26.4,45,4
1,1,164,58.2,28.9,45,4
1,0,168.1,64.3,20.2,60,4
3,0,163.7,61,17.1,49,4
2,0,175.7,67.3,12.1,44,4
1,1,159.6,43.5,19.4,45,4
1,1,168.9,57.68,29,40,4
3,1,162,47,13.2,32,4
2,0,175.6,79,20.3,56,4
1,1,170.8,56.1,18.4,46,4
1,1,159.2,58.3,32.6,43,4
2,1,151.6,54,31.1,42,4
2,0,166.7,71.2,21.4,47,4
3,1,155.2,61.2,32.7,37,4
1,1,161,58.3,32.8,37,4
1,1,166.1,61,20.6,44,4
2,1,161.5,60.6,26.3,32,4
1,0,174.3,77.2,21.1,55,4
1,1,160,56.2,26.6,47,4
3,0,168.7,67.9,10.5,51,4
3,0,169.1,70.9,22.8,46,4
1,0,172.2,72.7,18.4,55,4
1,0,170.5,71.6,21,52,4
1,0,175.3,66.3,14.7,51,4
1,1,155,46.2,28.2,39,4
2,0,181.1,64.2,16,52,4
1,0,173.4,67.3,19.2,52,4
1,1,160.1,52.7,30.7,47,4
2,1,154.7,52.4,22.1,60,4
1,1,165.6,58,26.2,39,4
3,0,173.3,67.1,13.1,47,4
1,0,175.9,65.02,14.2,54,4
1,0,171.4,72,10.2,66,4
2,0,172.9,76.2,20.2,55,4
1,1,162.5,53.8,23.6,44,4
3,1,159.4,60.9,18.9,20,4
3,1,164.8,52.2,20.6,20,4
1,1,165.7,69.3,31.7,40,4
3,0,171.6,61.2,15.2,44,4
1,0,175.1,71.4,18.4,57,4
1,1,162.9,58.7,27.2,48,4
2,0,169.1,68,21.4,57,4
3,1,154,56.3,30.3,26,4
1,1,165.9,50.1,17.4,36,4
1,0,176.1,81.6,18.3,65,4
2,1,160.7,52.7,21.2,45,4
3,1,140.5,49.6,32.1,19,4
1,1,164.6,54.7,29.1,47,4
3,1,158.5,51.8,23.9,32,4
3,0,169.4,65.9,15,43,4
3,1,156.7,58.1,28.8,30,4
1,0,181,73.14,13.5,61,4
2,1,168.7,64.8,26.6,31,4
1,1,161.5,56.9,25.5,45,4
3,0,170.4,64.5,25.9,43,4
2,1,162.4,60.7,24,43,4
2,0,174.8,71,11.7,45,4
2,0,169.6,67.9,19.3,50,4
1,0,167.8,65.1,12.3,62,4
3,1,164.9,60.6,23.9,29,4
3,1,159.5,54,26.3,27,4
3,1,159.2,48.2,21.4,49,4
3,0,176.9,70,9.8,45,4
2,0,175,81.7,19.8,54,4
3,0,173.6,57.9,13.7,41,4
1,0,173.3,83.3,18.7,66,4
1,1,155.7,52.5,28.9,44,4
1,0,171.8,68.3,10.1,54,4
1,0,164.1,58.9,12.1,52,4
1,0,178.3,74.2,5.5,60,4
3,1,163.6,62.8,32.5,37,4
1,1,162,56.6,27.6,43,4
1,1,160.7,57.1,25,46,4
1,0,172,68.8,19.4,58,4
1,1,160.5,49.7,21.6532,57,4
1,1,160.2,58,30.7,35,4
2,1,160.9,61.6,33.7,46,4
2,1,157.4,50.4,19.6,41,4
3,0,167.4,64.8,18.3,36,4
2,0,172.4,68.5,12,55,4
2,1,168.8,59.7,26.6,45,4
2,0,164.8,69,15.3,45,4
1,0,178.4,74.84,12.9,55,4
3,1,153.2,50.6,21.6,29,4
1,1,156.3,54.9,29.4,41,4
1,0,174,77.6,24.4,59,4
1,1,162.3,54.3,31.5,43,4
3,0,165.2,66.5,21.3,46,4
2,0,171.7,78.5,16.8,68,4
1,1,157.8,54,30.9,67,4
1,1,169.3,48.34,14.9,46,4
2,1,161.3,58.4,28.9,34,4
1,1,162.6,49.6,17.1,46,4
1,0,173.7,71.6,16,57,4
1,1,164.6,57,20.2,48,4
1,1,157.7,46,25.4,45,4
3,1,148.2,50.7,33.7,26,4
1,1,153.6,48.5,26.2,47,4
2,1,157,49.3,22.4,40,4
3,0,169.2,73.5,21.7,39,4
1,1,160.1,52.5,28,54,4
2,0,181.3,81.3,15.1,53,4
2,0,178.6,81.4,21,47,4
2,0,172,68,12,46,4
3,0,166.9,73.8,23.1,39,4
2,0,175.9,76.6,18.2,65,4
3,0,165.4,60.6,16.8,49,4
1,1,153.6,53.9,33.3,41,4
2,1,160.3,49.1,19.5,30,4
1,0,180.3,81.64,16.8,56,4
1,0,174.1,69.1,8,67,4
3,0,172.1,70.5,20.2,39,4
1,1,158,47.5,25.5,46,4
1,0,175.4,66.12,16.3,59,4
1,0,176.7,77.2,9.3,60,4
1,1,165.9,54.7,22.4,40,4
1,1,160.1,53,26.03511,40,4
2,1,164.4,57.8,26.9,33,4
3,1,162.9,66.3,27.8,32,4
1,0,168,68.2,12.8,71,4
1,0,181.4,79.5,9.7,60,4
1,0,169.4,68.5,12.7,63,4
2,0,176.5,66.88,16.8,52,4
1,1,175.1,59.8,27,40,4
1,1,169.1,68.5,32.5,47,4
1,1,153.9,59.5,23.4,37,4
1,0,173.5,68.4,11.9,71,4
2,0,171.5,69.9,20.5,60,4
3,0,166.1,63.9,14.2,51,4
3,0,168.4,74.1,12,34,4
1,0,177.5,69.4,14.5,51,4
2,0,173.6,71.4,15.5,46,4
2,1,172.9,60.8,20.1,34,4
3,1,156,47,25.9,24,4
1,0,177.9,81.4,20.4,51,4
3,1,162.4,55.7,28.9,36,4
3,1,155.1,51.3,23,24,4
2,1,159,52.4,23.2,40,4
3,1,159.1,53,26.6,25,4
3,1,158.5,56.2,28.8,23,4
3,1,151,46.1,27.3,21,4
3,1,162.2,57.4,24.2,38,4
3,0,159.5,52,13.1,52,4
3,0,166.8,62.7,20.8,38,4
1,0,168.7,67.68,19.4,61,4
1,0,177.3,71.7,13.6,59,4
1,1,161.8,50.3,25.4,43,4
2,0,166,73.66,23.1,60,4
1,1,160.6,61.3,23.2,46,4
2,1,169.7,59.7,21.6,45,4
1,1,168.1,60.6,22.3,52,4
3,1,158.7,56.4,20.9,26,4
1,1,159.7,54.4,27.7,40,4
1,1,167.3,82.3,31.7,41,4
1,1,161.5,56.5,23.6,42,4
3,1,164.2,56,20.3,47,4
3,0,167.4,55.8,9.8,48,4
1,1,169.3,65.3,27.9,55,4
2,1,156.1,50.2,27.1,35,4
3,1,157.4,52.3,23.8,31,4
2,1,151.2,47.1,21.4,38,4
2,1,164.2,55.2,17.7,53,4
2,0,172.9,64,13.8,58,4
1,0,176.3,73,15.4,59,4
1,0,177.2,75.4,16,56,4
1,0,175.9,69.02,16.4,54,4
3,1,155,50,26.3,20,4
1,0,169.5,76.1,16,55,4
2,0,172.8,72,21.5,45,4
3,0,160.7,67.5,28.9,37,4
2,0,183.8,84.9,22.9,50,4
2,1,158.1,49.2,22.3,33,4
1,0,174.7,90.1,21.6,66,4
1,0,176.1,75.4,16.3,61,4
3,0,180.5,64.9,8.7,31,4
2,1,155.8,44.5,21.2,35,4
2,0,170,74.74,23.4,55,4
2,0,169.4,74.3,17.8,57,4
2,0,184.8,89.4,16.1,58,4
3,1,154.9,56.3,38.7,30,4
1,1,160.2,56.8,18.1,48,4
2,1,166.5,56.5,27.2,32,4
3,0,176.3,66.5,15.6,50,4
1,0,173.8,83.6,21.6,53,4
2,0,177.3,66.8,14.7,54,4
3,0,166.6,62.1,17.6,31,4
1,0,180.2,92.2,21.8,64,4
2,0,174.1,71.1,13.3,65,4
2,1,161.2,53.8,18.09828,44,4
3,1,158.6,54.6,24.1,19,4
1,0,181.9,78,13,60,4
3,1,171.8,65.2,25.3,51,4
1,1,168.2,61,27.2,46,4
1,1,160.4,53.8,24.3,45,4
2,1,162.3,50.8,19.5,52,4
1,1,153.6,46.2,30.5,41,4
3,0,169.6,67.6,17.7,37,4
2,0,178.6,71.4,21.01,45,4
3,0,167.8,69.3,24.3,37,4
3,0,176.1,64.76,17.6,32,4
2,0,163,59.3,13.1,45,4
2,1,161.8,59.4,24.4,43,4
1,1,162,50.8,23.4,50,4
1,0,172.8,70.2,16.5,52,4
1,1,161.1,52.6,27.6,57,4
