"나이","체지방률","악력","앞으로굽히기","윗몸일으키기","멀리뛰기","등급","bmi"
55,33.9,25.5,21,23,130,"A",21.9
51,22.4,21.3,25.3,30,154,"A",18.4
37,22.3,24.8,29.1,42,192,"A",19.3
22,23.9,28.9,25.5,37,175,"A",19.6
45,27.4,28.8,19.4,36,158,"A",22.8
64,33.7,29.4,21,17,135,"A",26.9
43,22.7,30.3,27.4,32,163,"A",19.9
23,17.6,17.7,19.9,41,155,"A",17.5
41,13.8,25.5,21.8,30,164,"A",20.3
41,20.3,21.7,30.3,56,182,"A",20.2
48,22,32.6,24.9,30,162,"A",21.4
34,21.6,38,29.4,62,203,"A",19.9
56,29.7,29.3,26,28,147,"A",23.8
61,25.3,26.8,22.3,18,118,"A",21.2
31,26.1,26.5,19.4,42,151,"A",20
53,26.8,18.4,19.6,24,147,"A",22
24,27.4,27,30.5,48,158,"A",21.7
22,28.2,27.5,27.1,45,180,"A",21.6
21,28.7,26.4,21.6,59,167,"A",20.1
24,24.8,30.7,22.4,38,173,"A",19.7
26,15.9,32.3,26.6,56,162,"A",20
21,16,26.7,26.2,44,186,"A",19
36,30.1,23.3,19.2,40,156,"A",21.1
31,22.8,30,23.8,44,181,"A",20.5
22,27.7,22.7,27.6,54,184,"A",19.5
36,27,28.2,21,35,155,"A",20.4
25,27.4,31.6,20.1,42,175,"A",21
48,30,27.6,21.7,34,173,"A",21.9
25,18.7,28.7,26,56,201,"A",19.6
27,15.9,25.2,21.4,47,182,"A",17.4
29,31.8,27.2,22.3,50,157,"A",21.9
60,26.22061,29.3,19.8,33,150,"A",23.5
44,33,33.9,26.5,34,156,"A",22.5
21,25,37.2,20.3,38,162,"A",22.2
63,18.1,21.4,26.3,27,121,"A",19.8
22,16.2,30.1,25.6,37,189,"A",17.7
64,31.9,22.1,28.4,18,125,"A",22.3
25,25.3,27.3,22,37,190,"A",19.8
50,23.6,24,22,33,150,"A",20.5
28,25.1,25.8,23.1,53,178,"A",20.5
25,21.6,27.6,27.3,47,167,"A",23.5
57,22.6,25.8,21.8,32,129,"A",22.5
24,28.1,25.7,26.9,36,169,"A",19.5
26,21.6,31.4,21.2,41,165,"A",19.9
21,25.8,28.8,24.5,57,190,"A",22
26,28.7,34.6,24.5,48,189,"A",21.8
41,31.3,30.1,18.9,33,169,"A",22
30,19.8,32.1,19.6,44,198,"A",21.4
62,30.7,23.4,19.8,28,132,"A",22.4
21,28.6,30,34.5,49,171,"A",23.8
21,18.4,25,21.5,42,170,"A",18.6
26,21.3,22.8,26.9,48,173,"A",18.3
24,24.7,27.9,29.3,46,177,"A",21.3
25,19.4,23.5,18.8,42,183,"A",19.5
23,23.8,23.2,28.5,55,191,"A",20.6
28,26.22377,26.9,27.5,43,194,"A",27.1
27,30.9,43.5,27.4,60,227,"A",25.1
21,22.7,27.5,20.6,51,183,"A",20.2
25,30.1,32,19.2,44,172,"A",22.8
28,25.1,28.3,23.7,41,139,"A",20.9
35,22,29.3,23.5,32,165,"A",20.6
61,32.6,25.2,20.1,26,148,"A",24.8
58,32.9,21.7,28,33,150,"A",22.7
25,22.1,21.4,23.2,56,192,"A",19.7
28,32.3,23.7,25,52,182,"A",20.6
37,22.4,27.9,30.4,35,196,"A",20.2
44,18.59,26.8,22.7,39,169,"A",20.6
62,27.7,25.4,21.5,43,147,"A",22.7
21,29.7,28.7,21.8,40,174,"A",24.1
57,28.8,21.6,23.4,22,148,"A",21.2
31,29.4,29.3,18.5,42,174,"A",22.5
62,31.5,23.1,19.6,24,142,"A",20.8
25,27,37.3,19.9,54,181,"A",22
37,31.3,30.7,27.5,48,185,"A",22.9
50,21.5,26.4,21.3,36,151,"A",22.5
22,23.3,29.2,31.3,46,202,"A",19.3
23,23.1,31.3,23,46,191,"A",18.4
59,35.5,27.6,23.1,22,116,"A",25.5
52,32.1,23.5,25.4,29,171,"A",23.9
23,23.5,32,22.3,52,182,"A",20.5
34,25.4,26.9,20.7,50,185,"A",22.6
22,30,25.9,27.1,54,172,"A",22.7
21,21.7,31.7,27.5,51,201,"A",22.7
27,37.7,28.1,26.6,40,161,"A",25.9
31,21.1,28.6,27.8,38,188,"A",18.7
22,33.3,25.6,20.1,48,163,"A",22.9
26,37,29.8,21.5,44,197,"A",25.2
48,15,26.9,19.6,45,170,"A",19.2
24,24.4,32.6,20.6,49,183,"A",21.5
27,23,27.7,22.2,43,172,"A",19.5
22,30,31.2,20.8,55,191,"A",24.7
39,27.6,29.8,20.4,34,164,"A",23.1
29,20.5,22.6,19.3,38,175,"A",18.4
55,30.7,28.4,24.8,30,125,"A",20.4
24,33.6,30.4,31.6,43,169,"A",25.5
22,18.6,26.3,21.6,40,181,"A",18.9
63,13.7,28.3,21.1,31,122,"A",21.6
30,23.2,26.5,27.7,43,201,"A",20.9
42,25.1,28.2,22.3,47,185,"A",19.3
53,23.8,26.6,21,38,166,"A",22.3
28,30.4,25.9,18.9,42,165,"A",21.5
24,19.8,36.3,24.7,46,195,"A",20.9
27,25.6,29.6,20.9,40,175,"A",19.8
21,25.9,26.6,25.1,54,190,"A",23.3
23,30.6,35.9,29.1,37,172,"A",22.2
52,30.5,21.6,22.2,29,114,"A",21.8
23,28.3,29,34,51,190,"A",24
27,21.6,28.4,23.6,49,189,"A",19.4
21,24,26.8,26.4,36,218,"A",20.3
22,24.7,22.4,23.1,37,162,"A",22.6
27,28.9,28.9,20.2,51,170,"A",24.2
26,22.4,23.4,19.9,37,154,"A",18.6
57,25.5,27.2,20.9,24,130,"A",22
22,30.8,31.6,20.4,45,159,"A",21.6
22,27.1,24.8,22.2,42,176,"A",19.3
51,20.4,29.7,20.6,28,150,"A",21.1
34,24.8,27.9,27,51,159,"A",21.2
25,36.9,28.7,23.6,38,161,"A",21.8
24,30.2,29.3,26,47,184,"A",21.6
23,22.6,29.4,28.1,57,173,"A",24.2
31,30.5,37.6,20,34,159,"A",22.9
37,24.6,24.9,22,44,171,"A",21.1
38,22.49118,28.4,31.2,31,180,"A",21.9
25,19,24.3,21.6,46,180,"A",16.7
29,24.1,27.7,20.5,46,158,"A",20.1
24,26.4,31.9,20.8,47,194,"A",23.5
50,24.7,29.9,22.4,40,157,"A",22.5
32,24.5,27.1,24,53,130,"A",19.8
27,26,26.4,21.4,44,191,"A",22.8
22,30.8,22.5,25.8,39,167,"A",20.1
21,25,23.8,25.6,56,172,"A",21.2
47,14.3,32.6,22.3,33,196,"A",19.1
57,32.7,25.7,25.2,26,129,"A",22.5
41,17.6,26.6,19.6,42,170,"A",18.9
39,23,21.9,24.5,36,180,"A",20.2
51,31.4,31.4,23.5,46,156,"A",21.9
24,27.4,26.4,23.2,54,182,"A",20
22,26.5,36.6,24.9,64,186,"A",24.1
22,17,30.2,35.2,46,181,"A",19.7
21,20,30.3,24.7,38,185,"A",18.8
62,23.5,18.6,20.7,36,129,"A",19.6
55,32,29.4,24.7,35,185,"A",23.9
23,31,29.4,25.3,49,179,"A",22.6
61,35.5,24.9,22,19,120,"A",24.9
23,30.2,28.3,20.9,46,167,"A",24.4
26,23.3,30.6,20.5,62,191,"A",21.2
46,28.5,27.2,30.7,40,161,"A",22.2
28,26.6,31.6,26,41,190,"A",22.1
57,29.1,26.3,20.5,32,142,"A",23
40,22,24.5,28.2,34,174,"A",22
32,23.3,39.3,23.3,52,191,"A",24.2
36,30.7,25.9,24,40,155,"A",21.5
29,21.2,37,20.5,35,141,"A",20.2
29,33,22.3,21.1,34,162,"A",19.6
32,22.9,21.6,19.1,45,174,"A",22.7
38,22.3,25.2,22.1,33,142,"A",19
40,26.3,26.2,20.3,41,176,"A",21.4
24,15.3,34.6,30.1,51,216,"A",19.2
48,20.3,25.4,29.6,41,170,"A",17.8
23,25.2,34.8,19.7,55,136,"A",20.5
25,21.5,25.9,26.6,52,173,"A",20.5
27,12.8,28.1,24.1,53,216,"A",19.8
23,27.4,31.8,25,50,189,"A",21.3
24,24.5,31.2,23.6,48,145,"A",22.6
33,23.8,26.7,27.3,45,174,"A",19.7
26,18.2,34.2,26.4,50,180,"A",21.5
25,20.2,32.8,21.1,54,189,"A",19.4
63,18.7,26.6,28.5,24,137,"A",19.2
21,19.7,22.7,30.7,57,206,"A",18.6
26,20.3,25,23.1,39,207,"A",20.5
21,21.9,21.9,21.1,47,189,"A",18.9
28,22,37.7,28.9,49,213,"A",25.1
28,19.7,27.2,24.6,36,182,"A",19.5
21,28,26,26.6,47,207,"A",20.6
35,31.5,29.9,26.1,34,199,"A",21
61,22.9,23.2,22.3,37,136,"A",19
24,24,36.1,24.3,44,181,"A",23
30,22.7,31.6,28.3,44,184,"A",20
26,23.5,26.7,20.3,47,170,"A",21.2
49,23.2,30.6,19,45,171,"A",22.1
21,17.7,28.6,21.4,63,187,"A",20.8
22,26.6,31.4,23.8,40,171,"A",24.7
37,28.8,28.4,25.1,47,165,"A",20.5
52,23.6,24.9,28,34,147,"A",18.5
23,21.4,30.6,23,51,172,"A",21.7
21,25.2,27.8,28.8,47,172,"A",22
34,27.7,33.2,20.2,32,174,"A",23.2
31,27.9,30.3,25.5,33,157,"A",21
26,32.9,29.9,29.1,50,157,"A",23.1
25,17.5,29.6,23.5,53,191,"A",19.5
26,30.8,27.2,19,42,170,"A",19.8
55,32,27.9,25.9,24,145,"A",25.3
50,30.8,25.4,22.6,27,158,"A",22.1
27,28.3,23.5,30.8,40,155,"A",20.1
28,22.7,31.4,25.5,41,160,"A",20.1
37,21.2,25.4,28.1,31,145,"A",20.5
24,22,23.8,21.1,40,171,"A",19.4
42,18,28.4,28.5,38,157,"A",19.3
38,15.2,36,21.5,44,197,"A",21
42,23.7,28.5,25.5,35,162,"A",20
48,20.4,34.4,25.9,40,173,"A",23.1
60,20.9,23,22.3,21,131,"A",18.5
21,22,25.2,26.3,41,190,"A",19.7
46,21.7,31.3,22.5,38,163,"A",23.2
27,26.6,29.3,25.2,43,190,"A",19.4
40,24.5,25.4,22.7,52,168,"A",21.6
63,30.2,22.1,20.8,17,94,"A",22.6
27,17,27.9,28.5,45,182,"A",21.6
39,22.4,27.9,19.2,46,161,"A",18.5
27,18.1,30.8,22.8,55,198,"A",18.7
61,25.3,28.7,23.9,19,133,"A",22.6
32,27.6,27,25.9,42,186,"A",20.7
22,27.4,21.4,25,38,170,"A",20.1
24,23.8,24,26.6,57,183,"A",19.9
27,27.2,30.6,19.2,52,163,"A",25.1
26,18.6,33.6,26.7,69,218,"A",23.1
27,20.8,24.4,28.5,42,168,"A",19.5
40,18.5,25.4,22.8,37,181,"A",18.5
21,26.1,22.7,21,47,176,"A",21.2
23,33.3,35.8,22,47,165,"A",23.3
51,23.9,32.1,29.3,24,158,"A",21.1
26,28.5,29,21.8,35,156,"A",22.9
24,27.6,29.2,22.2,54,169,"A",22.7
23,26.8,29.5,20.4,45,167,"A",22.3
43,18.3,28.2,21.8,43,172,"A",18.3
51,20.6,29.6,25,30,184,"A",20.7
50,27.8,28.9,24,33,144,"A",21.5
46,10.21084,29.1,27.6,54,181,"A",21.2
26,16,26,22.4,40,161,"A",17.7
23,21.6,34.7,24.7,51,190,"A",22.3
21,29.8,27.1,19.9,42,199,"A",23.4
27,21.7,26.7,27.3,35,176,"A",20.3
63,16.2,23.8,23.7,22,127,"A",20
21,25.8,30.1,22,54,192,"A",24.6
52,28.4,22.7,19.6,28,147,"A",22.7
29,32.1,23,20.7,38,160,"A",19.6
21,24.9,28.5,24.2,46,207,"A",21
41,23.2,27.3,20,37,173,"A",20.8
22,21.1,24.5,29.5,40,165,"A",20
44,31.3,34.8,24.6,36,200,"A",26.6
57,28.2,22.3,27,36,160,"A",22.1
25,22.1,26.9,23.6,44,200,"A",19.1
60,35.6,23.8,27.3,20,124,"A",22.5
21,16.4,30.5,29.1,44,189,"A",22.2
25,26.5,32.6,29.2,55,205,"A",22
45,15.3,27.3,28.9,56,198,"A",20.2
43,19.1,26.6,23.1,42,154,"A",21.5
53,30.1,28.3,26.2,34,162,"A",24.9
61,30.4,21.5,23.4,28,136,"A",22.2
49,20.5,30.1,20,36,154,"A",22.1
29,22.7,28.6,19.5,40,157,"A",19.4
33,20.9,30.3,23.5,33,154,"A",18.7
44,21.3,21.7,30.3,50,187,"A",20.8
26,24.3,26.4,29.8,39,191,"A",20.8
63,32.7,24.1,25.5,28,135,"A",24.1
21,22.5,33.4,23.7,66,234,"A",22.8
51,17.1,24.1,19.5,33,162,"A",18.7
23,35.9,26.8,21.2,52,166,"A",25.5
21,21.5,38.1,31.8,43,230,"A",21.8
50,17.9,24.5,30.2,25,163,"A",19.9
25,38.7,33,21.3,51,167,"A",25.3
50,25.6,26.8,28.1,42,158,"A",21.7
30,19.4,25.3,20,41,188,"A",17.9
45,21.5,23.1,21.8,34,158,"A",19.8
33,22.6,31.4,24.8,35,146,"A",21.7
29,22.8,26.4,25.7,44,174,"A",19.5
60,26.5,28.3,24.9,28,159,"A",22.6
23,17,26.9,25.4,61,195,"A",20.6
56,28.3,26,22.6,23,130,"A",21
25,25.4,24.8,19.3,44,185,"A",20.1
39,19.1,29.4,26.7,43,179,"A",20.7
24,21.4,24.4,23.8,48,200,"A",20.6
32,28.8,28.5,21,49,169,"A",22.2
24,28.8,33.9,22.6,52,162,"A",23.7
40,22.9,26.2,28.5,37,168,"A",20.7
24,25.3,40.8,21.4,37,193,"A",26.2
49,28.6,30.9,23.7,40,161,"A",24
64,29.7,28.3,22,25,110,"A",24.3
56,33,35.5,23.6,22,180,"A",27.1
63,21.2,31.4,21.6,17,135,"A",21.4
62,17.7,21.2,32,26,141,"A",17.7
24,19.7,26.3,22.3,48,177,"A",19.1
25,27,32.5,31.5,57,200,"A",23.1
57,33.6,23.5,20,22,151,"A",21.4
38,25.7,27.3,24.5,41,175,"A",22.5
38,21.8,23.8,23.9,36,170,"A",18.5
64,34.2,24.5,23.5,38,126,"A",24.8
53,29.8,23.8,23.5,29,143,"A",21.9
24,17,22.6,28.8,42,162,"A",18.7
28,24.2,30.5,25.3,51,177,"A",21.9
27,32.9,25.9,22.4,58,163,"A",24.2
62,27.3,20.9,22.6,34,131,"A",23.6
23,33.1,29.4,20,51,170,"A",25.5
39,26.6,27.3,31.6,37,177,"A",22.3
31,23.1,30.5,24.7,56,179,"A",23
30,26.3,35.6,24.8,55,171,"A",21.5
28,23.4,32.9,20.5,38,171,"A",21.1
21,23.1,25.9,27.1,44,192,"A",18.7
35,24.3,31.3,25.9,48,167,"A",21.6
52,29.9,28.9,22.1,33,150,"A",23.8
38,27.2,33.3,20.9,40,162,"A",21
25,34.4,24.4,23.5,50,165,"A",20.5
27,28.2,28.9,28.2,48,169,"A",21.2
47,28.7,23.8,29.3,33,152,"A",22.6
22,27.7,31.3,21.2,43,180,"A",21.3
48,20.8,31.9,25.9,34,147,"A",21.8
24,26.4,27.8,22.4,47,205,"A",23.2
25,17.5,34.9,31,51,200,"A",22.4
28,35.2,27.7,22.1,52,179,"A",24.6
23,20.8,29,29.4,58,194,"A",21.2
21,25.9,25.5,27.3,39,122,"A",20.8
35,26.6,36.1,22.6,48,205,"A",23.7
36,22.3,26.7,27.1,37,155,"A",20.8
22,25.6,25.1,24.1,42,185,"A",20.2
30,17.6,36.2,24.1,50,181,"A",21.1
21,23.6,22,22.1,37,177,"A",19.1
27,31.6,33.8,21.9,42,161,"A",24
24,20.3,24.7,20.2,40,169,"A",19.4
29,18.8,24.3,23.9,49,194,"A",20.5
40,30.55772,32.9,24.1,58,172,"A",24.1
28,28.3,25,21.6,42,165,"A",21.3
25,22.9,29.4,21.5,45,193,"A",20.3
22,19.8,30.6,22.3,40,197,"A",19.3
22,22.9,30.4,23,52,193,"A",20
25,30.1,29.5,19.8,42,193,"A",21.5
23,18.5,32.6,24.5,49,210,"A",22
21,29.1,29.8,25.1,52,183,"A",20.2
24,24.5,24.3,23.6,43,158,"A",19.2
21,19.7,31.2,26.8,56,170,"A",21.8
60,29.1,19.2,20,24,152,"A",21.1
22,26,24.2,29.8,36,192,"A",20.8
40,20,26.7,19.5,37,157,"A",19.5
60,25.8,30.9,20.3,20,153,"A",24.8
33,22.5,29.7,23.8,39,155,"A",19.8
43,19.3,32.4,23.8,34,175,"A",20.4
42,27.4,28.2,19.5,38,156,"A",22.7
29,20.3,29.9,21.2,37,176,"A",18.2
27,18.3,30.4,21,64,187,"A",19.9
26,28,27.2,18.6,47,172,"A",21.1
26,19.7,23.1,19.7,46,174,"A",17.9
35,31.3,20.3,21,35,146,"A",18.4
23,25,26.5,28.2,44,146,"A",19.4
22,34,25.7,28.3,40,189,"A",22.6
42,29.5,21.5,24.9,31,145,"A",20.2
28,27.1,34.2,31,49,176,"A",23.8
64,20.8,21,27.2,39,142,"A",19.3
23,28.5,19.3,28.8,44,188,"A",19.4
22,22.8,29.1,22.6,44,179,"A",20.5
48,28.1,29,24.2,38,164,"A",22.9
25,23.5,33.3,32.7,39,182,"A",22.7
24,18.5,31.2,27.1,50,174,"A",20.8
55,23.6,24.9,22.8,28,151,"A",19.7
24,30.9,29.2,26.5,43,177,"A",24.7
21,21.3,22.8,28,41,186,"A",18.7
61,33,27.9,21.4,19,118,"A",26
21,17.5,24,20.2,51,203,"A",20.2
22,19.8,26.9,21.8,43,190,"A",18.4
26,20.3,29.9,23.4,50,170,"A",20.4
28,26.8,23.2,32.8,46,200,"A",21.8
22,24.4,22.2,28.2,57,192,"A",19.9
26,25.6,27.8,22.1,39,175,"A",21.1
27,24.1,28.4,26.4,43,173,"A",19.9
21,28,28.3,22.6,50,187,"A",21.9
59,24.3,23.9,23.3,36,140,"A",21
27,16.4,26.2,26,51,184,"A",19.4
40,23.6,32.8,20.8,51,201,"A",22.1
25,36,34.1,27.6,56,189,"A",29.4
51,26.1,22.4,28.8,40,137,"A",23
51,21,17.6,23.1,39,151,"A",21.1
46,28,31.4,18.9,31,161,"A",20.7
22,27.5,34.5,23.9,41,200,"A",24.5
21,32.2,28.5,20.2,36,170,"A",23.3
39,20.1,34,26.5,51,163,"A",21.9
24,27.2,28.3,21.5,45,172,"A",19.3
28,26.1,28.4,21.1,41,165,"A",21.7
60,24.9,23.3,22.7,32,158,"A",20.7
45,9.4,24.3,34.3,38,154,"A",17.4
27,29.3,22.6,21.5,39,163,"A",22.1
27,26.1,22.3,22.3,38,178,"A",20.6
21,23.6,28,25.8,46,177,"A",19.9
48,20,25.9,19.2,36,171,"A",19.5
51,21.1,21.8,20.1,43,167,"A",21.3
38,23.7,29.3,21.8,52,170,"A",20.2
21,12.7,18.8,25.7,36,183,"A",15.5
25,31.7,24.3,23,51,182,"A",22
59,22,20.9,26.5,30,132,"A",19
50,27.2,22.5,19.9,34,162,"A",21.1
26,25.8,25.3,18.5,46,167,"A",20.1
21,14.9,30.7,27.1,55,202,"A",18.8
38,14.1,29.5,28.7,44,196,"A",17
24,22.7,21.7,25.9,47,165,"A",17.6
26,23.1,28.6,29.9,40,165,"A",18.7
24,25.2,26.1,24.2,50,187,"A",20.8
27,32,25.6,20.8,42,175,"A",20.1
34,23.3,39.3,27.1,40,152,"A",23.7
55,32,29.9,22.6,26,172,"A",24
51,30.2,24.3,21.2,26,145,"A",23
43,26.4,31.7,23.5,42,195,"A",20.8
23,18.6,28.5,27.7,40,196,"A",20.1
28,24.5,34.5,25.6,48,181,"A",22.9
22,25.7,26.3,30.1,38,151,"A",18.2
26,24.8,26,20.1,43,170,"A",18.8
25,28.2,26.5,26.9,34,163,"A",20.8
25,18.5,28.5,23.8,48,178,"A",19
41,33.4,30.5,21.7,37,160,"A",24.7
22,20.9,27.4,21.5,56,192,"A",19.9
62,20.4,17.8,24.3,27,134,"A",20
23,23.8,31,20.5,47,179,"A",22.2
61,32.8,26.1,21.9,20,125,"A",25.5
23,24.7,30.7,22.1,38,166,"A",20.1
22,26.2,28.9,30.1,55,174,"A",21.5
30,19,27.3,19.1,45,184,"A",18.7
27,20.2,31.8,19.5,57,189,"A",21.6
40,22.4,36,24.2,48,198,"A",21.1
25,22.4,28.8,18.5,42,160,"A",17.5
24,20,30.5,20.2,46,201,"A",19.3
36,22.1,39.6,31.2,59,183,"A",22.4
58,24.5,27.1,20.6,42,142,"A",21.8
25,28.8,31.1,20,38,178,"A",21.7
56,33.2,23.8,20.8,32,121,"A",23.8
50,18.4,29,23,43,174,"A",19.9
27,30.7,27.7,19.7,51,167,"A",19.9
22,20,25.4,25,58,190,"A",18.9
23,26.7,30,26.9,58,158,"A",23.3
61,31.6,24.8,25,20,133,"A",21.7
58,28.5,24.3,20.3,33,150,"A",23.3
35,17.7,21.8,22,35,137,"A",19.4
26,23.6,42.3,22.9,53,190,"A",21.2
30,25.8,26.6,25.3,67,186,"A",25.7
45,23.5,30.6,27.2,52,170,"A",22.3
64,22.3,22.5,29.5,21,139,"A",20.4
27,25.3,29.1,24.4,47,179,"A",22.5
25,17.2,23.8,23.5,50,161,"A",21.1
21,24.3,23.8,20.1,39,169,"A",18.7
39,22.4,27,23.5,37,152,"A",21.6
31,29.7,29.1,23.5,38,179,"A",22.8
56,27.4,20.5,20.5,20,155,"A",23.2
40,25.3,27.7,22.8,30,153,"A",21.4
61,16.6,22.9,29.6,40,140,"A",20.1
39,34.9,33.4,19.3,45,176,"A",24.1
39,18.9,30.6,24.4,51,198,"A",21.7
26,20.6,29.6,26,51,170,"A",21.8
33,15.2,22.7,23.2,41,166,"A",17.8
22,23.8,22.2,29.7,53,200,"A",21.8
21,32.1,25.8,25,38,170,"A",20.8
40,24.9,31.3,23.7,41,163,"A",22.3
21,32.2,32.3,24.9,43,199,"A",24.5
23,23,31,21.4,46,152,"A",19.7
61,25.9,26.6,27.8,19,129,"A",18.9
25,27,30.3,24.5,56,186,"A",23
27,22.7,27.1,24.7,43,188,"A",20.8
26,34.1,35,19,46,183,"A",23.4
26,17.7,28.1,31.7,50,162,"A",19.3
56,24.3,23.9,23.4,21,164,"A",18.5
21,30.6,37.9,27.8,50,179,"A",21.6
25,17.34,34,20.5,49,178,"A",20.5
28,30.8,25.6,22.2,42,172,"A",23
22,24,23.2,20,47,203,"A",18.6
25,29.3,27.4,26.9,42,186,"A",24.5
64,20.5,35.7,22,55,170,"A",19.4
39,15.3,29.4,32.5,38,183,"A",18.6
47,31,30,19,40,160,"A",21.6
50,21.6,25.8,26,26,175,"A",19.6
50,21.7,20.7,27.5,29,180,"A",21.1
32,19.5,31.1,27.6,36,170,"A",22
30,27.9,25.6,20.4,37,162,"A",19.5
24,29.6,26.6,25.5,48,164,"A",19.8
21,33.5,32.4,28.8,49,178,"A",24.7
41,27.7,22.8,22.5,32,152,"A",20.8
24,22.3,29,21.6,59,192,"A",19.3
38,19.9,26,24.3,47,160,"A",20.2
25,18.2,35.5,26.5,46,185,"A",19.1
21,30.4,30.2,22.9,48,195,"A",24.5
21,30.4,31.3,24.8,47,183,"A",25.2
62,33.4,24.8,26.8,26,132,"A",21.9
23,27.4,26.3,29.4,38,200,"A",22.6
31,25.4,24.1,20,40,171,"A",19.3
40,17.1,26.3,29.9,46,177,"A",21.6
60,25.3,30.2,25.8,36,152,"A",21.6
27,30.4,30.6,24.6,40,165,"A",22.6
25,29.2,24.7,24.3,40,176,"A",23.2
27,36.2,37.6,23.1,45,183,"A",29.3
48,17.1,35.4,27.3,66,204,"A",19.3
39,25.5,30.4,21.5,31,160,"A",20.8
48,10.3,31.7,34.3,30,160,"A",18
24,22.7,28.1,19.9,37,192,"A",22.3
30,25.5,32.3,21.9,39,163,"A",21.1
23,15.3,29.1,19.9,41,175,"A",18.7
25,19.1,26.2,27.1,44,176,"A",18
38,26.2,25,23.1,32,158,"A",18.2
56,31.6,28.6,20.2,24,139,"A",23.6
28,23.3,27.5,33.4,42,189,"A",21.5
24,27.7,31.3,21.8,45,165,"A",21.4
25,22,29.1,20.8,47,171,"A",21.7
24,24,27.8,21,43,172,"A",19.6
51,22.8,31.2,29.8,25,170,"A",21.3
29,32,32,21,41,207,"A",22.3
55,26.3,29.3,26.1,28,146,"A",19.9
60,28.1,24,21.7,26,132,"A",20.9
22,21.7,22.8,23.7,42,182,"A",18.3
26,35.7,24.5,19.4,47,158,"A",20.7
22,32.8,32.2,20.6,38,189,"A",24.8
49,25.9,30.4,26.3,37,159,"A",21.4
23,27.3,29.3,21.7,47,169,"A",21.3
22,25.8,22.5,21.9,41,163,"A",19.8
28,21.7,27.5,20.2,56,185,"A",18.9
64,23.4,22.4,23.2,27,122,"A",20.3
23,24.9,25.4,31,56,211,"A",20.3
23,26.4,27,21.4,55,187,"A",20.6
23,28.5,28.2,21.3,38,171,"A",22.4
56,25.2,29.7,26.6,31,156,"A",20.1
52,14.2,20.4,22.8,26,146,"A",17.2
23,19.9,25.9,27.9,46,199,"A",17.7
30,18.7,36.2,23.7,43,199,"A",22.7
33,24.7,28.2,25,38,160,"A",19.1
28,25.2,29.4,22.5,48,170,"A",22.2
22,26,26.3,23.9,48,190,"A",21.5
24,22.5,30.7,22.6,39,142,"A",20.1
24,22.3,30.6,22.9,38,182,"A",20.5
26,24.4,38,20.8,64,197,"A",24.5
22,21.5,24.3,26.6,41,162,"A",19.6
53,34.9,31.5,23.1,35,168,"A",24
47,25,27.3,27,45,175,"A",20.8
31,23.5,28.9,22.5,45,156,"A",22.6
25,25.1,27.2,31.4,59,182,"A",18.1
23,26.4,25.3,26.2,36,172,"A",21.3
34,23,28.3,24.8,37,168,"A",19.5
33,25.1,27.7,21.1,57,207,"A",23.6
23,18.2,22.6,28.4,51,170,"A",18.6
33,27.3,34.6,27.6,50,167,"A",20.9
61,33,28.7,21.9,27,136,"A",25.7
28,27.2,29,32.6,40,167,"A",19.8
22,28.9,20,31.8,48,170,"A",20.8
27,31.8,37.3,31,44,189,"A",22.6
22,25.4,24.1,23.2,50,195,"A",20.9
57,9.7,26.6,20.1,23,172,"A",17.8
29,20.3,27.8,26.7,46,171,"A",20.7
27,30.4,28.6,20.6,35,177,"A",21.1
61,40.3,26.7,23.7,38,150,"A",24
30,27.4,30,19.3,49,172,"A",21.6
21,26.8,23.7,21,41,177,"A",21
24,32.5,33.9,26.8,40,176,"A",23.8
29,27.5,29.9,22.1,52,166,"A",20.6
31,23.1,28.7,20.7,42,156,"A",18.8
33,30.8,26.2,29.5,35,182,"A",20.4
63,27.4,23,20.5,26,131,"A",20.7
31,22,24.7,20.2,52,174,"A",22.5
62,28.3,26.7,21.3,19,137,"A",23.5
22,29.3,23,25.9,36,165,"A",20.5
61,26.8,23.5,24.8,25,151,"A",22.8
26,32.1,33.3,21,37,171,"A",24.5
23,20.1,35.1,26.5,41,196,"A",20.3
42,19.3,25.5,24.6,38,158,"A",20
24,29.1,30.1,22,47,182,"A",22.2
27,34.9,22.4,20.1,50,156,"A",21.8
50,18.7,31.4,22,33,167,"A",22.9
51,20.3,27.4,23.4,31,173,"A",19.6
21,28.5,24.9,29.1,46,199,"A",21.4
32,25.7,37.4,20.2,38,163,"A",21.2
62,34,25.1,26.2,22,108,"A",21.4
56,25,32.6,27.8,36,165,"A",19
25,28.2,33,23,43,171,"A",22.6
21,25.7,35.4,26.5,57,197,"A",23.7
24,26.4,36.1,29.1,41,209,"A",20.9
26,34.5,2.1,31,38,175,"A",12.7
58,23,24.7,23.4,38,135,"A",19.3
24,24.4,33.3,22.8,44,190,"A",22.4
22,22.5,33.7,24.2,50,174,"A",20.4
26,21.5,22.2,19.3,55,162,"A",18.4
27,26.5,27.7,27.9,38,167,"A",24.9
45,27.8,29.8,28.4,46,172,"A",20.5
26,22.5,29,24.1,45,201,"A",21.1
25,31.2,32.8,21.6,38,164,"A",23.8
24,28.2,27.1,26.4,48,188,"A",22.1
51,15.7,32.1,20.7,30,164,"A",19.7
27,27.9,31.2,19.7,34,176,"A",23.9
23,32.8,34.3,20,37,181,"A",23.5
